Adamresult
nsamples=512, batch_size=64, epoch=100, lr=0.12, lr_gamma=lambda_fn_0_5
initial Wa=0.10000000149011612, Wb=1.7999999523162842, lr_milestone=lmbda0_5 = lambda epoch: 0.5 if (epoch >= 5 and epoch <= 20 and epoch % 5 == 0) else 1.0
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-0.09704, dWb=0.88797, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=2, Epoch=0, minibatch=1, loss=0.13135, Wa=0.2200, Wb=1.6800, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-3.91536, dWb=0.23533, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=3, Epoch=0, minibatch=2, loss=0.18072, Wa=0.3113, Wb=1.5794, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-7.70185, dWb=0.20163, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=4, Epoch=0, minibatch=3, loss=0.09302, Wa=0.4116, Wb=1.4870, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-2.74976, dWb=0.08463, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=5, Epoch=0, minibatch=4, loss=0.10205, Wa=0.5110, Wb=1.4053, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=-2.31647, dWb=-0.00922, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=6, Epoch=0, minibatch=5, loss=0.13746, Wa=0.6087, Wb=1.3370, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.06000, dWa=-3.40901, dWb=-0.11259, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=7, Epoch=0, minibatch=6, loss=0.04532, Wa=0.6589, Wb=1.3114, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.06000, dWa=-0.60052, dWb=-0.07801, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=8, Epoch=0, minibatch=7, loss=0.05630, Wa=0.7046, Wb=1.2917, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.06000, dWa=-0.84627, dWb=-0.11495, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=9, Epoch=1, minibatch=0, loss=0.06931, Wa=0.7472, Wb=1.2780, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.06000, dWa=-1.16976, dWb=-0.15392, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=10, Epoch=1, minibatch=1, loss=0.07161, Wa=0.7882, Wb=1.2706, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.06000, dWa=-0.95978, dWb=-0.18562, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=11, Epoch=1, minibatch=2, loss=0.08143, Wa=0.8274, Wb=1.2697, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.03000, dWa=-1.20981, dWb=-0.18696, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=12, Epoch=1, minibatch=3, loss=0.05197, Wa=0.8465, Wb=1.2719, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.03000, dWa=-0.89205, dWb=-0.12803, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=13, Epoch=1, minibatch=4, loss=0.02148, Wa=0.8649, Wb=1.2758, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.03000, dWa=-0.28522, dWb=-0.06253, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=14, Epoch=1, minibatch=5, loss=0.04314, Wa=0.8819, Wb=1.2801, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.03000, dWa=-0.82375, dWb=-0.08946, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=15, Epoch=1, minibatch=6, loss=0.03820, Wa=0.8984, Wb=1.2853, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.03000, dWa=-0.53565, dWb=-0.10806, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=16, Epoch=1, minibatch=7, loss=0.03974, Wa=0.9141, Wb=1.2915, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01500, dWa=-0.62627, dWb=-0.03943, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=17, Epoch=2, minibatch=0, loss=0.05831, Wa=0.9216, Wb=1.2946, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01500, dWa=-1.15653, dWb=-0.08995, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=18, Epoch=2, minibatch=1, loss=0.05765, Wa=0.9292, Wb=1.2981, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01500, dWa=-1.27436, dWb=-0.05791, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=19, Epoch=2, minibatch=2, loss=0.02749, Wa=0.9370, Wb=1.3016, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01500, dWa=-0.45387, dWb=-0.02659, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=20, Epoch=2, minibatch=3, loss=0.02485, Wa=0.9444, Wb=1.3050, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01500, dWa=-0.48126, dWb=-0.02459, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
