RMSprop optimization using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=21, Epoch=2, minibatch=4, loss=0.07189, Wa=0.7975, Wb=1.4112, unitvecWa=-0.99250, unitvecWb=0.12222, eff_stepsize=0.01543, dWa=-1.45505, dWb=0.02078, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.95021, sqrt_SdWb=0.11022
updates=22, Epoch=2, minibatch=5, loss=0.06717, Wa=0.8129, Wb=1.4093, unitvecWa=-0.99996, unitvecWb=0.00878, eff_stepsize=0.01372, dWa=-1.30975, dWb=0.00132, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.95447, sqrt_SdWb=0.10966
updates=23, Epoch=2, minibatch=6, loss=0.02987, Wa=0.8266, Wb=1.4092, unitvecWa=-0.63233, unitvecWb=0.77470, eff_stepsize=0.00733, dWa=-0.44066, dWb=0.06206, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.95071, sqrt_SdWb=0.10929
updates=24, Epoch=2, minibatch=7, loss=0.07280, Wa=0.8312, Wb=1.4035, unitvecWa=-0.99986, unitvecWb=-0.01693, eff_stepsize=0.01394, dWa=-1.33124, dWb=-0.00257, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.95527, sqrt_SdWb=0.10874
updates=25, Epoch=3, minibatch=0, loss=0.03004, Wa=0.8452, Wb=1.4038, unitvecWa=-0.54541, unitvecWb=0.83817, eff_stepsize=0.00919, dWa=-0.47690, dWb=0.08357, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.95167, sqrt_SdWb=0.10852
updates=26, Epoch=3, minibatch=1, loss=0.05860, Wa=0.8502, Wb=1.3961, unitvecWa=-0.99468, unitvecWb=0.10297, eff_stepsize=0.01010, dWa=-0.95654, dWb=0.01124, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.95172, sqrt_SdWb=0.10798
updates=27, Epoch=3, minibatch=2, loss=0.06766, Wa=0.8602, Wb=1.3950, unitvecWa=-0.99991, unitvecWb=-0.01310, eff_stepsize=0.01262, dWa=-1.20473, dWb=-0.00178, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.95458, sqrt_SdWb=0.10744
updates=28, Epoch=3, minibatch=3, loss=0.04211, Wa=0.8728, Wb=1.3952, unitvecWa=-0.71425, unitvecWb=0.69989, eff_stepsize=0.00931, dWa=-0.63308, dWb=0.06982, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.95191, sqrt_SdWb=0.10713
updates=29, Epoch=3, minibatch=4, loss=0.04077, Wa=0.8795, Wb=1.3887, unitvecWa=-0.55548, unitvecWb=0.83153, eff_stepsize=0.01018, dWa=-0.53630, dWb=0.09053, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.94865, sqrt_SdWb=0.10698
updates=30, Epoch=3, minibatch=5, loss=0.03106, Wa=0.8851, Wb=1.3802, unitvecWa=-0.65641, unitvecWb=0.75441, eff_stepsize=0.00818, dWa=-0.50762, dWb=0.06582, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.94526, sqrt_SdWb=0.10664
updates=31, Epoch=3, minibatch=6, loss=0.04101, Wa=0.8905, Wb=1.3740, unitvecWa=-0.98821, unitvecWb=-0.15308, eff_stepsize=0.00667, dWa=-0.62173, dWb=-0.01084, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.94258, sqrt_SdWb=0.10611
updates=32, Epoch=3, minibatch=7, loss=0.04690, Wa=0.8971, Wb=1.3751, unitvecWa=-0.99482, unitvecWb=0.10170, eff_stepsize=0.01082, dWa=-1.01538, dWb=0.01162, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.94333, sqrt_SdWb=0.10559
updates=33, Epoch=4, minibatch=0, loss=0.03829, Wa=0.9079, Wb=1.3740, unitvecWa=-0.99411, unitvecWb=0.10834, eff_stepsize=0.00776, dWa=-0.72652, dWb=0.00884, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.94141, sqrt_SdWb=0.10506
updates=34, Epoch=4, minibatch=1, loss=0.03192, Wa=0.9156, Wb=1.3731, unitvecWa=-0.60895, unitvecWb=0.79321, eff_stepsize=0.00755, dWa=-0.43101, dWb=0.06270, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.93768, sqrt_SdWb=0.10472
updates=35, Epoch=4, minibatch=2, loss=0.06117, Wa=0.9202, Wb=1.3671, unitvecWa=-0.99592, unitvecWb=0.09027, eff_stepsize=0.01451, dWa=-1.36206, dWb=0.01365, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.94287, sqrt_SdWb=0.10421
updates=36, Epoch=4, minibatch=3, loss=0.02692, Wa=0.9346, Wb=1.3658, unitvecWa=-0.85579, unitvecWb=0.51733, eff_stepsize=0.00487, dWa=-0.39103, dWb=0.02611, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.93896, sqrt_SdWb=0.10372
updates=37, Epoch=4, minibatch=4, loss=0.04086, Wa=0.9388, Wb=1.3633, unitvecWa=-0.91243, unitvecWb=0.40923, eff_stepsize=0.01112, dWa=-0.95267, dWb=0.04700, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.93910, sqrt_SdWb=0.10331
updates=38, Epoch=4, minibatch=5, loss=0.03722, Wa=0.9489, Wb=1.3587, unitvecWa=-0.98787, unitvecWb=0.15529, eff_stepsize=0.00682, dWa=-0.63083, dWb=0.01088, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.93652, sqrt_SdWb=0.10279
updates=39, Epoch=4, minibatch=6, loss=0.05976, Wa=0.9557, Wb=1.3577, unitvecWa=-1.00000, unitvecWb=-0.00036, eff_stepsize=0.08002, dWa=-12.43114, dWb=-0.00029, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.55359, sqrt_SdWb=0.10228
updates=40, Epoch=4, minibatch=7, loss=0.03011, Wa=1.0357, Wb=1.3577, unitvecWa=-0.45745, unitvecWb=0.88923, eff_stepsize=0.00787, dWa=-0.55685, dWb=0.07139, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.54680, sqrt_SdWb=0.10202
updates=41, Epoch=5, minibatch=0, loss=0.02199, Wa=1.0393, Wb=1.3507, unitvecWa=-0.51387, unitvecWb=0.85787, eff_stepsize=0.00445, dWa=-0.35222, dWb=0.03880, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.53945, sqrt_SdWb=0.10158
updates=42, Epoch=5, minibatch=1, loss=0.03538, Wa=1.0416, Wb=1.3469, unitvecWa=-0.96399, unitvecWb=0.26592, eff_stepsize=0.00578, dWa=-0.85546, dWb=0.01555, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.53412, sqrt_SdWb=0.10108
updates=43, Epoch=5, minibatch=2, loss=0.02243, Wa=1.0472, Wb=1.3454, unitvecWa=-0.46897, unitvecWb=0.88322, eff_stepsize=0.00705, dWa=-0.50477, dWb=0.06273, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.52727, sqrt_SdWb=0.10077
updates=44, Epoch=5, minibatch=3, loss=0.01307, Wa=1.0505, Wb=1.3391, unitvecWa=-0.18913, unitvecWb=0.98195, eff_stepsize=0.00711, dWa=-0.20434, dWb=0.07017, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.51975, sqrt_SdWb=0.10051
updates=45, Epoch=5, minibatch=4, loss=0.02104, Wa=1.0518, Wb=1.3322, unitvecWa=-0.95856, unitvecWb=-0.28488, eff_stepsize=0.00300, dWa=-0.43541, dWb=-0.00855, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.51276, sqrt_SdWb=0.10001
updates=46, Epoch=5, minibatch=5, loss=0.01028, Wa=1.0547, Wb=1.3330, unitvecWa=-0.24594, unitvecWb=0.96929, eff_stepsize=0.00347, dWa=-0.12857, dWb=0.03352, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.50523, sqrt_SdWb=0.09957
updates=47, Epoch=5, minibatch=6, loss=0.02195, Wa=1.0555, Wb=1.3296, unitvecWa=-0.54851, unitvecWb=0.83614, eff_stepsize=0.00584, dWa=-0.47992, dWb=0.04842, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.49845, sqrt_SdWb=0.09918
updates=48, Epoch=5, minibatch=7, loss=0.03154, Wa=1.0587, Wb=1.3248, unitvecWa=-0.96337, unitvecWb=0.26818, eff_stepsize=0.00585, dWa=-0.84199, dWb=0.01549, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.49332, sqrt_SdWb=0.09870
updates=49, Epoch=6, minibatch=0, loss=0.00756, Wa=1.0644, Wb=1.3232, unitvecWa=-0.06606, unitvecWb=0.99782, eff_stepsize=0.00692, dWa=-0.06795, dWb=0.06800, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.48585, sqrt_SdWb=0.09844
updates=50, Epoch=6, minibatch=1, loss=0.03247, Wa=1.0648, Wb=1.3163, unitvecWa=-0.99058, unitvecWb=-0.13693, eff_stepsize=0.00940, dWa=-1.38287, dWb=-0.01261, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.48485, sqrt_SdWb=0.09795
updates=51, Epoch=6, minibatch=2, loss=0.01776, Wa=1.0741, Wb=1.3176, unitvecWa=-0.96065, unitvecWb=0.27775, eff_stepsize=0.00316, dWa=-0.44802, dWb=0.00854, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.47809, sqrt_SdWb=0.09747
updates=52, Epoch=6, minibatch=3, loss=0.02172, Wa=1.0772, Wb=1.3167, unitvecWa=-0.99950, unitvecWb=0.03153, eff_stepsize=0.00415, dWa=-0.60985, dWb=0.00127, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.47194, sqrt_SdWb=0.09698
updates=53, Epoch=6, minibatch=4, loss=0.01656, Wa=1.0813, Wb=1.3166, unitvecWa=-0.94913, unitvecWb=0.31488, eff_stepsize=0.00424, dWa=-0.58993, dWb=0.01289, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.46575, sqrt_SdWb=0.09650
updates=54, Epoch=6, minibatch=5, loss=0.02052, Wa=1.0853, Wb=1.3152, unitvecWa=-0.83997, unitvecWb=0.54264, eff_stepsize=0.00394, dWa=-0.48276, dWb=0.02053, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.45920, sqrt_SdWb=0.09604
updates=55, Epoch=6, minibatch=6, loss=0.01511, Wa=1.0887, Wb=1.3131, unitvecWa=-0.80582, unitvecWb=0.59216, eff_stepsize=0.00362, dWa=-0.42371, dWb=0.02049, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.45251, sqrt_SdWb=0.09558
updates=56, Epoch=6, minibatch=7, loss=0.01332, Wa=1.0916, Wb=1.3110, unitvecWa=-0.59593, unitvecWb=0.80303, eff_stepsize=0.00296, dWa=-0.25515, dWb=0.02263, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.44545, sqrt_SdWb=0.09513
updates=57, Epoch=7, minibatch=0, loss=0.01320, Wa=1.0933, Wb=1.3086, unitvecWa=-0.51100, unitvecWb=0.85958, eff_stepsize=0.00351, dWa=-0.25782, dWb=0.02855, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.43844, sqrt_SdWb=0.09469
updates=58, Epoch=7, minibatch=1, loss=0.01366, Wa=1.0951, Wb=1.3056, unitvecWa=-0.77468, unitvecWb=0.63235, eff_stepsize=0.00262, dWa=-0.29096, dWb=0.01563, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.43152, sqrt_SdWb=0.09423
updates=59, Epoch=7, minibatch=2, loss=0.01787, Wa=1.0972, Wb=1.3039, unitvecWa=-0.99508, unitvecWb=0.09905, eff_stepsize=0.00408, dWa=-0.57899, dWb=0.00379, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.42552, sqrt_SdWb=0.09376
updates=60, Epoch=7, minibatch=3, loss=0.00989, Wa=1.1012, Wb=1.3035, unitvecWa=-0.34079, unitvecWb=0.94014, eff_stepsize=0.00405, dWa=-0.19576, dWb=0.03554, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.41851, sqrt_SdWb=0.09336
updates=61, Epoch=7, minibatch=4, loss=0.01775, Wa=1.1026, Wb=1.2997, unitvecWa=-0.71864, unitvecWb=-0.69538, eff_stepsize=0.00412, dWa=-0.41761, dWb=-0.02659, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.41202, sqrt_SdWb=0.09293
updates=62, Epoch=7, minibatch=5, loss=0.00876, Wa=1.1056, Wb=1.3025, unitvecWa=-0.42755, unitvecWb=0.90399, eff_stepsize=0.00265, dWa=-0.15921, dWb=0.02216, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.40503, sqrt_SdWb=0.09249
updates=63, Epoch=7, minibatch=6, loss=0.01097, Wa=1.1067, Wb=1.3002, unitvecWa=-0.64904, unitvecWb=0.76075, eff_stepsize=0.00298, dWa=-0.27016, dWb=0.02085, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.39825, sqrt_SdWb=0.09205
updates=64, Epoch=7, minibatch=7, loss=0.01632, Wa=1.1086, Wb=1.2979, unitvecWa=-0.81363, unitvecWb=-0.58138, eff_stepsize=0.00336, dWa=-0.38093, dWb=-0.01792, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.39176, sqrt_SdWb=0.09161
updates=65, Epoch=8, minibatch=0, loss=0.01204, Wa=1.1114, Wb=1.2998, unitvecWa=-0.98247, unitvecWb=0.18640, eff_stepsize=0.00252, dWa=-0.34296, dWb=0.00428, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.38521, sqrt_SdWb=0.09115
updates=66, Epoch=8, minibatch=1, loss=0.01092, Wa=1.1138, Wb=1.2994, unitvecWa=-0.88368, unitvecWb=0.46809, eff_stepsize=0.00201, dWa=-0.24450, dWb=0.00852, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.37849, sqrt_SdWb=0.09069
updates=67, Epoch=8, minibatch=2, loss=0.01759, Wa=1.1156, Wb=1.2984, unitvecWa=-0.92030, unitvecWb=0.39122, eff_stepsize=0.00640, dWa=-0.80965, dWb=0.02261, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.37396, sqrt_SdWb=0.09027
updates=68, Epoch=8, minibatch=3, loss=0.01848, Wa=1.1215, Wb=1.2959, unitvecWa=-0.99705, unitvecWb=0.07672, eff_stepsize=0.00464, dWa=-0.63361, dWb=0.00320, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.36854, sqrt_SdWb=0.08982
updates=69, Epoch=8, minibatch=4, loss=0.01876, Wa=1.1261, Wb=1.2956, unitvecWa=-0.82024, unitvecWb=-0.57202, eff_stepsize=0.00435, dWa=-0.48636, dWb=-0.02225, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=1.36255, sqrt_SdWb=0.08939
