SGD_w_Momentum optimization using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=21, Epoch=2, minibatch=4, loss=0.06764, Wa=1.9872, Wb=1.1859, unitvecWa=-0.56368, unitvecWb=0.82599, eff_stepsize=0.04851, dWa=0.06935, dWb=0.25818, VdWa=-2.73431, VdWb=4.00673, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=22, Epoch=2, minibatch=5, loss=0.03356, Wa=2.0145, Wb=1.1458, unitvecWa=-0.54549, unitvecWb=0.83811, eff_stepsize=0.04447, dWa=0.03486, dWb=0.12136, VdWa=-2.42602, VdWb=3.72741, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=23, Epoch=2, minibatch=6, loss=0.03970, Wa=2.0388, Wb=1.1085, unitvecWa=-0.53539, unitvecWb=0.84460, eff_stepsize=0.04020, dWa=0.03105, dWb=0.04079, VdWa=-2.15237, VdWb=3.39546, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=24, Epoch=2, minibatch=7, loss=0.05400, Wa=2.0603, Wb=1.0746, unitvecWa=-0.51096, unitvecWb=0.85961, eff_stepsize=0.03701, dWa=0.04602, dWb=0.12558, VdWa=-1.89111, VdWb=3.18150, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=25, Epoch=3, minibatch=0, loss=0.05795, Wa=2.0792, Wb=1.0428, unitvecWa=-0.49685, unitvecWb=0.86784, eff_stepsize=0.03348, dWa=0.03878, dWb=0.04174, VdWa=-1.66322, VdWb=2.90509, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=26, Epoch=3, minibatch=1, loss=0.04173, Wa=2.0959, Wb=1.0137, unitvecWa=-0.49771, unitvecWb=0.86734, eff_stepsize=0.02962, dWa=0.02261, dWb=-0.04536, VdWa=-1.47429, VdWb=2.56922, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=27, Epoch=3, minibatch=2, loss=0.05109, Wa=2.1106, Wb=0.9880, unitvecWa=-0.51021, unitvecWb=0.86005, eff_stepsize=0.02564, dWa=0.01875, dWb=-0.10721, VdWa=-1.30812, VdWb=2.20508, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=28, Epoch=3, minibatch=3, loss=0.05429, Wa=2.1237, Wb=0.9660, unitvecWa=-0.54071, unitvecWb=0.84121, eff_stepsize=0.02150, dWa=0.01477, dWb=-0.17595, VdWa=-1.16254, VdWb=1.80862, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=29, Epoch=3, minibatch=4, loss=0.05898, Wa=2.1353, Wb=0.9479, unitvecWa=-0.58687, unitvecWb=0.80968, eff_stepsize=0.01759, dWa=0.01372, dWb=-0.20317, VdWa=-1.03256, VdWb=1.42459, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=30, Epoch=3, minibatch=5, loss=0.06598, Wa=2.1456, Wb=0.9337, unitvecWa=-0.64932, unitvecWb=0.76051, eff_stepsize=0.01407, dWa=0.01547, dWb=-0.21181, VdWa=-0.91384, VdWb=1.07033, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
