SGD_Momentumresult
nsamples=512, batch_size=64, epoch=100, lr=0.005
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-0.09704, dWb=0.88797, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=2, Epoch=0, minibatch=1, loss=0.14239, Wa=0.1005, Wb=1.7956, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-1.47211, dWb=0.44360, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=3, Epoch=0, minibatch=2, loss=0.16178, Wa=0.1083, Wb=1.7893, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-9.57878, dWb=0.22443, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=4, Epoch=0, minibatch=3, loss=0.19271, Wa=0.1632, Wb=1.7826, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-10.12392, dWb=0.40402, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=5, Epoch=0, minibatch=4, loss=0.16661, Wa=0.2632, Wb=1.7746, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-3.15042, dWb=0.39461, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=6, Epoch=0, minibatch=5, loss=0.16931, Wa=0.3690, Wb=1.7653, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-3.11091, dWb=0.33980, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=7, Epoch=0, minibatch=6, loss=0.17127, Wa=0.4798, Wb=1.7553, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-1.16387, dWb=0.53097, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=8, Epoch=0, minibatch=7, loss=0.16412, Wa=0.5853, Wb=1.7437, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-15.05046, dWb=0.52959, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=9, Epoch=1, minibatch=0, loss=0.12779, Wa=0.7555, Wb=1.7305, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-0.52849, dWb=0.44693, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=10, Epoch=1, minibatch=1, loss=0.11095, Wa=0.9113, Wb=1.7165, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-0.52951, dWb=0.39304, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=11, Epoch=1, minibatch=2, loss=0.10188, Wa=1.0542, Wb=1.7018, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.01296, dWb=0.46190, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
