Adamresult
nsamples=512, batch_size=64, epoch=100, lr=0.12, lr_gamma=lambda_fn_0_8
initial Wa=0.10000000149011612, Wb=1.7999999523162842, lr_milestone=lmbda0_5 = lambda epoch: 0.5 if (epoch >= 5 and epoch <= 20 and epoch % 5 == 0) else 1.0
updates=21, Epoch=2, minibatch=4, loss=0.00836, Wa=1.1669, Wb=1.2935, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.02013, dWa=-0.22449, dWb=0.02934, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=22, Epoch=2, minibatch=5, loss=0.00401, Wa=1.1739, Wb=1.2950, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.02013, dWa=-0.09464, dWb=0.02063, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=23, Epoch=2, minibatch=6, loss=0.00652, Wa=1.1803, Wb=1.2961, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01611, dWa=-0.18844, dWb=0.04113, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=24, Epoch=2, minibatch=7, loss=0.00877, Wa=1.1852, Wb=1.2966, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01611, dWa=-0.40475, dWb=0.02518, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=25, Epoch=3, minibatch=0, loss=0.00639, Wa=1.1899, Wb=1.2968, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.29544, dWb=0.03800, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=26, Epoch=3, minibatch=1, loss=0.00413, Wa=1.1935, Wb=1.2968, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.08210, dWb=0.04176, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=27, Epoch=3, minibatch=2, loss=0.00394, Wa=1.1969, Wb=1.2964, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.04409, dWb=0.05759, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=28, Epoch=3, minibatch=3, loss=0.00285, Wa=1.2000, Wb=1.2957, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.04660, dWb=0.03944, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=29, Epoch=3, minibatch=4, loss=0.00448, Wa=1.2029, Wb=1.2947, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.07277, dWb=0.06963, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=30, Epoch=3, minibatch=5, loss=0.00541, Wa=1.2056, Wb=1.2934, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.21793, dWb=0.04025, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=31, Epoch=3, minibatch=6, loss=0.00638, Wa=1.2081, Wb=1.2919, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.47740, dWb=0.04351, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=32, Epoch=3, minibatch=7, loss=0.00494, Wa=1.2108, Wb=1.2902, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.17518, dWb=0.04484, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=33, Epoch=4, minibatch=0, loss=0.00365, Wa=1.2134, Wb=1.2884, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.11929, dWb=0.04693, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=34, Epoch=4, minibatch=1, loss=0.00281, Wa=1.2159, Wb=1.2863, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.04156, dWb=0.04773, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=35, Epoch=4, minibatch=2, loss=0.00336, Wa=1.2181, Wb=1.2841, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.07051, dWb=0.03712, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=36, Epoch=4, minibatch=3, loss=0.00425, Wa=1.2202, Wb=1.2818, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.18694, dWb=0.04050, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=37, Epoch=4, minibatch=4, loss=0.00340, Wa=1.2223, Wb=1.2794, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.13310, dWb=0.04403, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=38, Epoch=4, minibatch=5, loss=0.00194, Wa=1.2243, Wb=1.2769, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.05224, dWb=0.02975, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=39, Epoch=4, minibatch=6, loss=0.00221, Wa=1.2261, Wb=1.2744, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.05107, dWb=0.03010, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=40, Epoch=4, minibatch=7, loss=0.00384, Wa=1.2279, Wb=1.2719, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.36204, dWb=0.04047, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
