SGD optimization using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=21, Epoch=2, minibatch=4, loss=0.14796, Wa=0.6940, Wb=1.7097, unitvecWa=-0.96244, unitvecWb=0.27148, eff_stepsize=0.01375, dWa=-1.32291, dWb=0.37316, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=22, Epoch=2, minibatch=5, loss=0.14097, Wa=0.7073, Wb=1.7060, unitvecWa=-0.94910, unitvecWb=0.31496, eff_stepsize=0.01292, dWa=-1.22655, dWb=0.40703, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=23, Epoch=2, minibatch=6, loss=0.10849, Wa=0.7195, Wb=1.7019, unitvecWa=-0.92435, unitvecWb=0.38155, eff_stepsize=0.00934, dWa=-0.86360, dWb=0.35647, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=24, Epoch=2, minibatch=7, loss=0.14698, Wa=0.7282, Wb=1.6983, unitvecWa=-0.98469, unitvecWb=0.17431, eff_stepsize=0.02015, dWa=-1.98453, dWb=0.35130, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=25, Epoch=3, minibatch=0, loss=0.09493, Wa=0.7480, Wb=1.6948, unitvecWa=0.08417, unitvecWb=0.99645, eff_stepsize=0.00443, dWa=0.03725, dWb=0.44098, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=26, Epoch=3, minibatch=1, loss=0.13447, Wa=0.7476, Wb=1.6904, unitvecWa=-0.94191, unitvecWb=0.33587, eff_stepsize=0.01127, dWa=-1.06168, dWb=0.37858, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=27, Epoch=3, minibatch=2, loss=0.13227, Wa=0.7583, Wb=1.6866, unitvecWa=-0.96816, unitvecWb=0.25033, eff_stepsize=0.01483, dWa=-1.43558, dWb=0.37119, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=28, Epoch=3, minibatch=3, loss=0.11860, Wa=0.7726, Wb=1.6829, unitvecWa=-0.62802, unitvecWb=0.77820, eff_stepsize=0.00617, dWa=-0.38748, dWb=0.48013, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=29, Epoch=3, minibatch=4, loss=0.11972, Wa=0.7765, Wb=1.6781, unitvecWa=-0.20948, unitvecWb=0.97781, eff_stepsize=0.00523, dWa=-0.10950, dWb=0.51113, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=30, Epoch=3, minibatch=5, loss=0.11410, Wa=0.7776, Wb=1.6730, unitvecWa=-0.69852, unitvecWb=0.71559, eff_stepsize=0.00577, dWa=-0.40317, dWb=0.41302, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=31, Epoch=3, minibatch=6, loss=0.11257, Wa=0.7816, Wb=1.6689, unitvecWa=-0.97072, unitvecWb=0.24022, eff_stepsize=0.01274, dWa=-1.23643, dWb=0.30598, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=32, Epoch=3, minibatch=7, loss=0.09223, Wa=0.7940, Wb=1.6658, unitvecWa=-0.72951, unitvecWb=0.68397, eff_stepsize=0.00505, dWa=-0.36843, dWb=0.34543, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=33, Epoch=4, minibatch=0, loss=0.10145, Wa=0.7977, Wb=1.6624, unitvecWa=-0.92768, unitvecWb=0.37338, eff_stepsize=0.00835, dWa=-0.77439, dWb=0.31169, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=34, Epoch=4, minibatch=1, loss=0.11081, Wa=0.8054, Wb=1.6592, unitvecWa=-0.77968, unitvecWb=0.62617, eff_stepsize=0.00719, dWa=-0.56073, dWb=0.45033, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=35, Epoch=4, minibatch=2, loss=0.11626, Wa=0.8110, Wb=1.6547, unitvecWa=-0.90671, unitvecWb=0.42176, eff_stepsize=0.00908, dWa=-0.82296, dWb=0.38280, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=36, Epoch=4, minibatch=3, loss=0.10671, Wa=0.8193, Wb=1.6509, unitvecWa=-0.93610, unitvecWb=0.35172, eff_stepsize=0.00963, dWa=-0.90124, dWb=0.33863, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=37, Epoch=4, minibatch=4, loss=0.11268, Wa=0.8283, Wb=1.6475, unitvecWa=-0.73692, unitvecWb=0.67598, eff_stepsize=0.00656, dWa=-0.48312, dWb=0.44317, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=38, Epoch=4, minibatch=5, loss=0.12336, Wa=0.8331, Wb=1.6431, unitvecWa=-0.98079, unitvecWb=0.19505, eff_stepsize=0.01757, dWa=-1.72364, dWb=0.34278, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=39, Epoch=4, minibatch=6, loss=0.09412, Wa=0.8503, Wb=1.6397, unitvecWa=-0.95327, unitvecWb=0.30211, eff_stepsize=0.01017, dWa=-0.96967, dWb=0.30730, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
