Adamresult
nsamples=512, batch_size=64, epoch=100, lr=0.12, lr_gamma=1.0
initial Wa=0.10000000149011612, Wb=1.7999999523162842, lr_milestone=[]
updates=22, Epoch=2, minibatch=5, loss=0.01541, Wa=1.5842, Wb=1.1517, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.04988, dWb=0.02626, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=23, Epoch=2, minibatch=6, loss=0.02250, Wa=1.6069, Wb=1.1210, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.04899, dWb=-0.02861, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=24, Epoch=2, minibatch=7, loss=0.02949, Wa=1.6273, Wb=1.0948, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.07559, dWb=0.03423, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=25, Epoch=3, minibatch=0, loss=0.03566, Wa=1.6455, Wb=1.0688, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.06696, dWb=-0.02337, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=26, Epoch=3, minibatch=1, loss=0.02675, Wa=1.6615, Wb=1.0466, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.03731, dWb=-0.08027, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=27, Epoch=3, minibatch=2, loss=0.03491, Wa=1.6760, Wb=1.0314, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.03575, dWb=-0.11334, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=28, Epoch=3, minibatch=3, loss=0.03551, Wa=1.6889, Wb=1.0246, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.02979, dWb=-0.14954, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=29, Epoch=3, minibatch=4, loss=0.03616, Wa=1.7004, Wb=1.0278, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.03360, dWb=-0.13244, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=30, Epoch=3, minibatch=5, loss=0.03795, Wa=1.7107, Wb=1.0389, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.04291, dWb=-0.10615, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=31, Epoch=3, minibatch=6, loss=0.03309, Wa=1.7198, Wb=1.0557, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.12000, dWa=0.04825, dWb=-0.03253, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
