SGD_Momentumresult
nsamples=512, batch_size=64, epoch=100, lr=0.001
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-0.09704, dWb=0.88797, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=2, Epoch=0, minibatch=1, loss=0.14456, Wa=0.1001, Wb=1.7991, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-1.56495, dWb=0.44460, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=3, Epoch=0, minibatch=2, loss=0.30971, Wa=0.1017, Wb=1.7979, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-67.77903, dWb=0.20940, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=4, Epoch=0, minibatch=3, loss=0.25737, Wa=0.1710, Wb=1.7965, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-26.87663, dWb=0.40002, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=5, Epoch=0, minibatch=4, loss=0.18582, Wa=0.2602, Wb=1.7949, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-4.28317, dWb=0.41207, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=6, Epoch=0, minibatch=5, loss=0.23270, Wa=0.3448, Wb=1.7931, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-10.54278, dWb=0.38195, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=7, Epoch=0, minibatch=6, loss=0.18525, Wa=0.4315, Wb=1.7910, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-2.01127, dWb=0.57549, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=8, Epoch=0, minibatch=7, loss=0.15909, Wa=0.5115, Wb=1.7886, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-0.57491, dWb=0.51668, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=9, Epoch=1, minibatch=0, loss=0.14581, Wa=0.5841, Wb=1.7859, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-1.14919, dWb=0.42279, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=10, Epoch=1, minibatch=1, loss=0.17065, Wa=0.6505, Wb=1.7831, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-2.06831, dWb=0.36155, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=11, Epoch=1, minibatch=2, loss=0.13057, Wa=0.7124, Wb=1.7802, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-0.56513, dWb=0.41000, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
