Adamresult
nsamples=512, batch_size=64, epoch=100, lr=0.12, lr_gamma=0.8
initial Wa=0.10000000149011612, Wb=1.7999999523162842, lr_milestone=[4, 8, 10, 12, 14, 16, 18, 20, 22, 24]
updates=21, Epoch=2, minibatch=4, loss=0.01613, Wa=1.1488, Wb=1.2997, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.02013, dWa=-1.40778, dWb=0.02897, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=22, Epoch=2, minibatch=5, loss=0.00613, Wa=1.1576, Wb=1.3010, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.02013, dWa=-0.15529, dWb=0.01722, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=23, Epoch=2, minibatch=6, loss=0.00632, Wa=1.1657, Wb=1.3020, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01611, dWa=-0.12179, dWb=0.04285, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=24, Epoch=2, minibatch=7, loss=0.01178, Wa=1.1717, Wb=1.3024, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01611, dWa=-0.48714, dWb=0.02411, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=25, Epoch=3, minibatch=0, loss=0.00634, Wa=1.1776, Wb=1.3025, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.15298, dWb=0.03811, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=26, Epoch=3, minibatch=1, loss=0.00554, Wa=1.1820, Wb=1.3023, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.12619, dWb=0.04062, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=27, Epoch=3, minibatch=2, loss=0.00486, Wa=1.1860, Wb=1.3019, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.06772, dWb=0.05809, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=28, Epoch=3, minibatch=3, loss=0.00365, Wa=1.1898, Wb=1.3011, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.06901, dWb=0.04023, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=29, Epoch=3, minibatch=4, loss=0.00579, Wa=1.1932, Wb=1.3001, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.12618, dWb=0.07157, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=30, Epoch=3, minibatch=5, loss=0.00674, Wa=1.1965, Wb=1.2987, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.25108, dWb=0.04359, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=31, Epoch=3, minibatch=6, loss=0.00593, Wa=1.1996, Wb=1.2971, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.17382, dWb=0.04720, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=32, Epoch=3, minibatch=7, loss=0.00772, Wa=1.2026, Wb=1.2953, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-3.70589, dWb=0.04773, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=33, Epoch=4, minibatch=0, loss=0.00512, Wa=1.2076, Wb=1.2933, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.85551, dWb=0.05044, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=34, Epoch=4, minibatch=1, loss=0.00318, Wa=1.2128, Wb=1.2911, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.04699, dWb=0.05219, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=35, Epoch=4, minibatch=2, loss=0.00359, Wa=1.2175, Wb=1.2887, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.06937, dWb=0.04262, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=36, Epoch=4, minibatch=3, loss=0.00417, Wa=1.2218, Wb=1.2862, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.16114, dWb=0.04718, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=37, Epoch=4, minibatch=4, loss=0.00321, Wa=1.2259, Wb=1.2836, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.08779, dWb=0.05184, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=38, Epoch=4, minibatch=5, loss=0.00185, Wa=1.2297, Wb=1.2808, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.03073, dWb=0.03856, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=39, Epoch=4, minibatch=6, loss=0.00209, Wa=1.2331, Wb=1.2780, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.02163, dWb=0.03963, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=40, Epoch=4, minibatch=7, loss=0.00278, Wa=1.2363, Wb=1.2751, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.07418, dWb=0.04939, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=41, Epoch=5, minibatch=0, loss=0.00224, Wa=1.2392, Wb=1.2721, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.12601, dWb=0.02753, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=42, Epoch=5, minibatch=1, loss=0.00186, Wa=1.2420, Wb=1.2691, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.05098, dWb=0.03972, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=43, Epoch=5, minibatch=2, loss=0.00178, Wa=1.2445, Wb=1.2661, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.12898, dWb=0.03810, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=44, Epoch=5, minibatch=3, loss=0.00158, Wa=1.2470, Wb=1.2630, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.01925, dWb=0.03452, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=45, Epoch=5, minibatch=4, loss=0.00132, Wa=1.2492, Wb=1.2600, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.00156, dWb=0.02852, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=46, Epoch=5, minibatch=5, loss=0.00137, Wa=1.2512, Wb=1.2569, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.01533, dWb=0.02658, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=47, Epoch=5, minibatch=6, loss=0.00140, Wa=1.2530, Wb=1.2539, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.00313, dWb=0.03116, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=48, Epoch=5, minibatch=7, loss=0.00103, Wa=1.2547, Wb=1.2510, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01288, dWa=-0.00768, dWb=0.01913, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
