Adam using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=21, Epoch=2, minibatch=4, loss=0.11523, Wa=0.2014, Wb=1.6288, unitvecWa=-0.28734, unitvecWb=0.95783, eff_stepsize=0.00811, dWa=-3.12169, dWb=0.17299, VdWa=-8.12953, VdWb=0.27848, sqrt_SdWa=5.64626, sqrt_SdWb=0.05802
updates=22, Epoch=2, minibatch=5, loss=0.07294, Wa=0.2037, Wb=1.6210, unitvecWa=-0.25353, unitvecWb=0.96733, eff_stepsize=0.00833, dWa=0.32572, dWb=0.42545, VdWa=-7.28401, VdWb=0.29318, sqrt_SdWa=5.64344, sqrt_SdWb=0.05953
updates=23, Epoch=2, minibatch=6, loss=0.13251, Wa=0.2058, Wb=1.6129, unitvecWa=-0.24251, unitvecWb=0.97015, eff_stepsize=0.00840, dWa=-3.91086, dWb=0.33957, VdWa=-6.94669, VdWb=0.29782, sqrt_SdWa=5.64198, sqrt_SdWb=0.06046
updates=24, Epoch=2, minibatch=7, loss=0.14008, Wa=0.2079, Wb=1.6048, unitvecWa=-0.24034, unitvecWb=0.97069, eff_stepsize=0.00822, dWa=-4.07998, dWb=0.22072, VdWa=-6.66002, VdWb=0.29011, sqrt_SdWa=5.64063, sqrt_SdWb=0.06084
updates=25, Epoch=3, minibatch=0, loss=0.07863, Wa=0.2098, Wb=1.5968, unitvecWa=-0.20971, unitvecWb=0.97776, eff_stepsize=0.00854, dWa=0.33739, dWb=0.47712, VdWa=-5.96028, VdWb=0.30881, sqrt_SdWa=5.63782, sqrt_SdWb=0.06265
updates=26, Epoch=3, minibatch=1, loss=0.07023, Wa=0.2116, Wb=1.5885, unitvecWa=-0.18812, unitvecWb=0.98215, eff_stepsize=0.00869, dWa=-0.10510, dWb=0.40270, VdWa=-5.37476, VdWb=0.31820, sqrt_SdWa=5.63500, sqrt_SdWb=0.06390
updates=27, Epoch=3, minibatch=2, loss=0.08580, Wa=0.2133, Wb=1.5799, unitvecWa=-0.17600, unitvecWb=0.98439, eff_stepsize=0.00864, dWa=-1.04111, dWb=0.30601, VdWa=-4.94140, VdWb=0.31698, sqrt_SdWa=5.63228, sqrt_SdWb=0.06460
updates=28, Epoch=3, minibatch=3, loss=0.15258, Wa=0.2148, Wb=1.5714, unitvecWa=-0.19172, unitvecWb=0.98145, eff_stepsize=0.00838, dWa=-7.14313, dWb=0.18807, VdWa=-5.16157, VdWb=0.30409, sqrt_SdWa=5.63399, sqrt_SdWb=0.06484
updates=29, Epoch=3, minibatch=4, loss=0.13466, Wa=0.2164, Wb=1.5632, unitvecWa=-0.21309, unitvecWb=0.97703, eff_stepsize=0.00768, dWa=-5.52496, dWb=0.00465, VdWa=-5.19791, VdWb=0.27414, sqrt_SdWa=5.63388, sqrt_SdWb=0.06481
updates=30, Epoch=3, minibatch=5, loss=0.13053, Wa=0.2180, Wb=1.5557, unitvecWa=-0.23447, unitvecWb=0.97212, eff_stepsize=0.00709, dWa=-5.33823, dWb=0.01732, VdWa=-5.21194, VdWb=0.24846, sqrt_SdWa=5.63360, sqrt_SdWb=0.06478
updates=31, Epoch=3, minibatch=6, loss=0.03108, Wa=0.2197, Wb=1.5488, unitvecWa=-0.21965, unitvecWb=0.97558, eff_stepsize=0.00690, dWa=-0.05620, dWb=0.17048, VdWa=-4.69637, VdWb=0.24066, sqrt_SdWa=5.63078, sqrt_SdWb=0.06497
updates=32, Epoch=3, minibatch=7, loss=0.08554, Wa=0.2212, Wb=1.5421, unitvecWa=-0.22772, unitvecWb=0.97373, eff_stepsize=0.00646, dWa=-2.80547, dWb=0.05840, VdWa=-4.50728, VdWb=0.22244, sqrt_SdWa=5.62866, sqrt_SdWb=0.06496
updates=33, Epoch=4, minibatch=0, loss=0.16577, Wa=0.2227, Wb=1.5358, unitvecWa=-0.24550, unitvecWb=0.96940, eff_stepsize=0.00664, dWa=-8.78678, dWb=0.26268, VdWa=-4.93523, VdWb=0.22646, sqrt_SdWa=5.63271, sqrt_SdWb=0.06546
updates=34, Epoch=4, minibatch=1, loss=0.08466, Wa=0.2243, Wb=1.5293, unitvecWa=-0.23994, unitvecWb=0.97079, eff_stepsize=0.00649, dWa=-2.20529, dWb=0.16030, VdWa=-4.66223, VdWb=0.21984, sqrt_SdWa=5.63032, sqrt_SdWb=0.06562
updates=35, Epoch=4, minibatch=2, loss=0.14628, Wa=0.2259, Wb=1.5230, unitvecWa=-0.25881, unitvecWb=0.96593, eff_stepsize=0.00618, dWa=-5.36051, dWb=0.08041, VdWa=-4.73206, VdWb=0.20590, sqrt_SdWa=5.63006, sqrt_SdWb=0.06564
updates=36, Epoch=4, minibatch=3, loss=0.11293, Wa=0.2275, Wb=1.5171, unitvecWa=-0.28245, unitvecWb=0.95928, eff_stepsize=0.00579, dWa=-5.24216, dWb=0.04029, VdWa=-4.78307, VdWb=0.18934, sqrt_SdWa=5.62968, sqrt_SdWb=0.06562
updates=37, Epoch=4, minibatch=4, loss=0.03611, Wa=0.2291, Wb=1.5115, unitvecWa=-0.25975, unitvecWb=0.96568, eff_stepsize=0.00577, dWa=-0.29612, dWb=0.18124, VdWa=-4.33437, VdWb=0.18853, sqrt_SdWa=5.62688, sqrt_SdWb=0.06583
updates=38, Epoch=4, minibatch=5, loss=0.05605, Wa=0.2306, Wb=1.5059, unitvecWa=-0.28362, unitvecWb=0.95894, eff_stepsize=0.00504, dWa=-1.88218, dWb=-0.07814, VdWa=-4.08915, VdWb=0.16186, sqrt_SdWa=5.62438, sqrt_SdWb=0.06585
updates=39, Epoch=4, minibatch=6, loss=0.34435, Wa=0.2320, Wb=1.5011, unitvecWa=-0.42697, unitvecWb=0.90427, eff_stepsize=0.00495, dWa=-23.41312, dWb=0.02360, VdWa=-6.02155, VdWb=0.14804, sqrt_SdWa=5.67011, sqrt_SdWb=0.06582
