Adamresult
nsamples=512, batch_size=64, epoch=100, lr=0.01, lr_gamma=1.0
initial Wa=0.10000000149011612, Wb=1.7999999523162842, lr_milestone=[]
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=-0.09704, dWb=0.88797, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=2, Epoch=0, minibatch=1, loss=0.20012, Wa=0.1100, Wb=1.7900, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=-13.23658, dWb=0.19994, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=3, Epoch=0, minibatch=2, loss=0.25784, Wa=0.1175, Wb=1.7818, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=-31.41546, dWb=0.13915, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=4, Epoch=0, minibatch=3, loss=0.23987, Wa=0.1256, Wb=1.7746, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=-13.73086, dWb=0.42892, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=5, Epoch=0, minibatch=4, loss=0.10786, Wa=0.1340, Wb=1.7668, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=0.94806, dWb=0.50025, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=6, Epoch=0, minibatch=5, loss=0.55852, Wa=0.1409, Wb=1.7585, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=-172.57437, dWb=0.34335, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=7, Epoch=0, minibatch=6, loss=0.22758, Wa=0.1472, Wb=1.7501, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=-19.78603, dWb=0.32274, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=8, Epoch=0, minibatch=7, loss=0.10080, Wa=0.1533, Wb=1.7417, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=0.22746, dWb=0.43812, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=9, Epoch=1, minibatch=0, loss=0.23579, Wa=0.1587, Wb=1.7330, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=-17.59136, dWb=0.33885, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=10, Epoch=1, minibatch=1, loss=0.11921, Wa=0.1639, Wb=1.7244, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=-0.34118, dWb=0.46342, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=11, Epoch=1, minibatch=2, loss=0.14971, Wa=0.1685, Wb=1.7155, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=0.70387, dWb=0.68368, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=12, Epoch=1, minibatch=3, loss=0.20735, Wa=0.1727, Wb=1.7062, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=-17.64562, dWb=0.14193, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=13, Epoch=1, minibatch=4, loss=0.11558, Wa=0.1769, Wb=1.6975, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=-0.41160, dWb=0.47767, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=14, Epoch=1, minibatch=5, loss=0.10121, Wa=0.1807, Wb=1.6886, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=-0.80834, dWb=0.37913, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=15, Epoch=1, minibatch=6, loss=0.10439, Wa=0.1841, Wb=1.6796, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=-4.10256, dWb=0.17080, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=16, Epoch=1, minibatch=7, loss=0.21953, Wa=0.1873, Wb=1.6711, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=-12.54805, dWb=0.33318, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=17, Epoch=2, minibatch=0, loss=0.08256, Wa=0.1906, Wb=1.6625, unitvecWa=0.00000, unitvecWb=0.00000, learningrate=0.01000, dWa=-0.58673, dWb=0.33507, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
